WARON HOSPITAL,,,,,,,,,,Catatan :,
 Jasa Tindakan Operasi,,,,,,,,,,A,"Waktu untuk Tindakan Operasi : Senin - Sabtu, Jam 07.00 - 20.00"
Periode 2025 -2026,,,,,,,,,,B,Biaya jasa tindakan operasi tersebut berlaku untuk tindakan operasi direncanakan (Elektif)
Operation Room Golongan Khusus,  8.500.000 ,  9.600.000 ,  10.700.000 ,  11.800.000 ,  12.900.000 ,  13.900.000 ,,,,I,"Biaya pemakaian Kamar Operasi belum termasuk biaya pemakaian alat-alat khusus, bahan-bahan habis pakai (medical consumables) dan jasa dokter"
TIDAK PAKAI,,,,,,,,,,J,Pemakaian Operasi untuk day surgery hanya terkena 50% dari tarif
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
WARON HOSPITAL,,,,,,,,,,,
Jasa Dokter Anak Pendamping,,,,,,,,,,,
Periode 2025 -2026,,,,,,,,,,,
,,,,,,,,,,,
Category, KELAS III, KELAS II, KELAS I, VIP, VVIP, Penthouse,,,,,
Golongan III,"  2.400.000,00 ","  3.000.000,00 ","  4.050.000,00 ","  6.000.000,00 ","  6.900.000,00 ","  8.100.000,00 ", NB CUMA BUAT RUMUS BIAR KE LINK ,,,,
Golongan IIA,"  2.400.000,00 ","  3.000.000,00 ","  4.050.000,00 ","  6.000.000,00 ","  6.900.000,00 ","  8.100.000,00 ",,,,,
Golongan II,"  2.400.000,00 ","  3.000.000,00 ","  4.050.000,00 ","  6.000.000,00 ","  6.900.000,00 ","  8.100.000,00 ",,,,,
TIDAK ADA, - , - , - , - , - , - ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
 Jasa Tindakan Anastesi untuk pembedahan,,,,,,,,,,Catatan :,
Kategori,kelas III,Kelas II,Kelas I,VIP,VVIP,Penthouse,,,,A,Waktu untuk tindakan operasi : Senin-Sabtu 07.00-20.00 
Golongan I,"  1.050.000,00 ","  1.350.000,00 ","  1.650.000,00 ","  2.250.000,00 ","  3.000.000,00 ","  4.500.000,00 ",,,,B,Biaya jasa tindakan anastesi untuk operasi tersebut berlaku untuk tindakan operasi direncanakan (Elektif)
Golongan II,"  2.400.000,00 ","  3.000.000,00 ","  4.050.000,00 ","  6.000.000,00 ","  6.900.000,00 ","  8.100.000,00 ",,,,C,"Biaya Jasa Tindakan Anastesi untuk Operasi Elektif yang dilakukan di Hari Minggu, Hari Libur Nasional atau Hari Kerja namun di luar Jam Kerja, dikenakan tambahan 30%"
